Frontier,SolutionIndex,Peak Sediment Deposit (tonnes),Fire Hazard Rating,Min Owl Habitat (ha)
E45,301,26.5646126252,23279.3650016,2448.8206967
E45,310,34.1852079526,23279.9088009,2464.44077753
E45,317,53.203047873900005,23280.5760041,2477.1790228
E45,338,23.655596848400002,23286.397258400004,2456.64335572
E45,346,26.5646126252,23287.0184203,2460.29860381
E45,350,19.5871287193,23287.7473038,2425.45500206
E45,359,19.5871287193,23289.8136298,2429.45985337
E45,360,30.1113585692,23289.4551315,2467.41991307
E45,363,26.5631855906,23289.9027539,2462.76990676
E45,366,19.591601532000002,23291.0603088,2430.87579938
E45,373,23.655596848400002,23292.2367961,2462.74210104
E45,378,30.114166297399997,23292.377754,2471.10803995
E45,384,34.1852079526,23294.165671,2475.30980104
E45,387,23.657023883,23295.2880136,2465.27614778
E45,401,17.0886549438,23299.572170400006,2423.44406219
E45,438,15.083850401,23307.2823521,2421.84196215
E45,448,17.0886549438,23310.759502,2454.55395147
E45,455,14.2218944147,23312.8810162,2430.09579036
E45,459,14.638427464400001,23314.7706621,2439.34674747
E45,475,19.4104878493,23318.3910784,2473.74709588
E45,483,11.2614821573,23322.0619162,2418.87017413
E45,487,14.633954651700002,23322.3140539,2456.64335572
E45,490,11.6690695816,23322.9499666,2424.06652275
E45,496,13.7582908482,23324.7946567,2458.75256734
E45,505,11.2614821573,23327.5663851,2434.02466742
E45,514,16.9092063457,23331.7852296,2473.74709588
E45,520,11.2570093446,23329.2815526,2446.44676507
E45,531,8.98066607877,23335.7720608,2412.41654821
E45,532,8.98066607877,23335.7813635,2414.57103043
E45,544,14.1675433571,23338.4420101,2471.10803995
E45,553,16.9092063457,23343.9199911,2477.1790228
E45,554,13.9909024871,23345.5085993,2475.23934552
E45,555,8.3501360112,23347.2472071,2428.61474185
E45,564,8.3501360112,23349.6909765,2434.05284554
E45,572,13.9909024871,23352.8659274,2476.26345576
E45,581,8.97619326609,23361.6797235,2466.57480154
E45,589,6.33699843282,23374.7367147,2412.18454725
E45,604,8.91176441242,23381.1402372,2477.1790228
E45,607,6.88685044588,23383.4848831,2455.39945003
E45,608,6.88685044588,23383.8601171,2456.4659033000007
E45,613,6.88685044588,23389.5455504,2463.49966066
E45,627,4.27998681368,23420.9379069,2422.02465634
E45,637,4.59827685518,23423.7637666,2442.67306794
E45,651,4.75609856257,23438.780954,2468.12045098
E45,655,4.8353085056900005,23451.0278798,2476.26345576
E45,657,2.5702285274700003,23465.1410655,2426.80636974
E45,668,2.72627094758,23470.4871824,2459.55455554
E45,672,2.6494384705900003,23475.8066688,2465.22314955
E45,684,0.5188672743689999,23653.293029,2420.65874098
E45,688,0.5188672743689999,23654.6918745,2425.06652275
E45,695,0.5188672743689999,23659.432184,2433.03028159
E45,717,0.784329333531,23675.9778651,2473.74709588
E45,718,0.784329333531,23680.1144376,2475.30980104
E45,719,0.784329333531,23688.4438107,2476.34365255
E45,9997,63.4288600326,23219.824190900006,2412.18454725
E45,9998,0.00142703458605,23964.2502311,2477.17
E45,9999,0.0,23973.7877064,2477.1790228
E85,1000,69.6809550662,23268.0195848,2171.10190845
E85,1001,66.272228625,23269.552982700006,2197.62816098
E85,1002,66.272228625,23269.552982700006,2292.42548122
E85,1003,66.272228625,23270.4951348,2293.90830102
E85,1008,66.272228625,23269.635652700006,2302.28401989
E85,1024,66.272228625,23278.8205538,2371.41882517
E85,1028,63.89348237390001,23274.8678979,2324.57435927
E85,1030,66.272228625,23279.3506477,2377.14111851
E85,1040,63.974446767299995,23278.7554192,2362.74505489
E85,1042,66.272228625,23279.1803534,2378.6239383
E85,1054,54.73490787229999,23283.1638164,2303.72876139
E85,1065,66.272228625,23283.8374135,2410.41891505
